Frame,Theta1,Theta2,Theta3,ServoAngle,Time(s)
387,-171.76,-1.95,4.19,27,27.138
388,-171.81,-2.02,4.10,27,27.187
389,-171.87,-2.10,4.10,27,27.234
390,-171.96,-2.28,4.18,27,27.278
391,-172.00,-2.33,4.18,28,27.435
392,-171.92,-2.24,4.25,28,27.480
393,-171.84,-2.22,4.38,28,27.530
394,-171.79,-2.17,4.27,28,27.593
395,-171.80,-2.25,4.32,28,27.654
396,-171.71,-2.20,4.34,28,27.701
397,-171.60,-2.06,4.29,28,27.749
398,-171.62,-2.15,4.35,28,27.808
399,-171.55,-2.13,4.48,28,27.856
400,-171.53,-2.14,4.48,28,27.917
401,-171.46,-1.97,4.28,28,27.965
402,-171.50,-2.05,4.32,28,28.010
403,-171.44,-2.04,4.45,28,28.058
404,-171.39,-2.04,4.50,28,28.105
405,-171.39,-2.08,4.61,28,28.167
406,-171.48,-2.14,4.49,29,28.322
407,-171.46,-2.09,4.37,29,28.382
408,-171.45,-2.18,4.45,29,28.429
409,-171.39,-2.14,4.35,29,28.476
411,-171.40,-2.23,4.53,29,28.571
412,-171.39,-2.32,4.71,29,28.617
413,-171.44,-2.28,4.43,29,28.679
414,-171.42,-2.32,4.58,29,28.729
415,-171.37,-2.35,4.64,29,28.777
416,-171.39,-2.36,4.64,29,28.827
417,-171.26,-2.24,4.65,29,28.872
418,-171.31,-2.26,4.61,29,28.918
419,-171.36,-2.40,4.69,29,28.966
420,-171.37,-2.48,4.75,29,29.012
421,-171.39,-2.61,4.96,30,29.163
422,-171.39,-2.66,5.00,30,29.208
423,-171.10,-3.24,5.11,30,29.258
425,-170.83,-3.67,5.32,30,29.365
427,-170.50,-3.95,5.45,30,29.462
428,-170.35,-4.37,5.53,30,29.506
429,-170.21,-4.67,5.44,30,29.553
430,-169.99,-5.00,5.60,30,29.601
431,-169.80,-5.08,5.51,30,29.648
432,-169.62,-5.28,5.50,30,29.710
433,-169.55,-5.54,5.53,30,29.768
434,-169.40,-5.76,5.67,30,29.818
435,-169.23,-5.88,5.66,30,29.865
436,-169.16,-6.03,5.67,31,30.019
437,-169.07,-6.17,5.73,31,30.081
438,-169.01,-6.31,5.69,31,30.129
439,-168.90,-6.47,5.76,31,30.174
440,-168.78,-6.51,5.74,31,30.222
441,-168.70,-6.65,5.88,31,30.284
442,-168.58,-6.66,5.83,31,30.331
443,-168.57,-6.87,5.99,31,30.375
444,-168.48,-6.95,6.00,31,30.422
445,-168.45,-6.96,5.91,31,30.471
446,-168.40,-7.08,5.98,31,30.517
447,-168.33,-6.99,5.87,31,30.578
448,-168.30,-7.05,5.86,31,30.624
449,-168.36,-7.33,6.08,31,30.674
450,-168.29,-7.38,6.20,31,30.723
451,-168.27,-7.37,6.11,32,30.875
452,-168.24,-7.49,6.18,32,30.923
453,-168.21,-7.53,6.13,32,30.985
454,-168.26,-7.59,5.99,32,31.046
455,-168.24,-7.66,6.03,32,31.095
456,-168.22,-7.69,6.02,32,31.157
457,-168.14,-7.61,5.98,32,31.204
459,-168.16,-7.67,5.88,32,31.300
460,-168.07,-7.62,5.81,32,31.358
461,-168.06,-7.65,5.73,32,31.418
462,-168.03,-7.67,5.86,32,31.470
463,-168.04,-7.64,5.79,32,31.528
464,-167.99,-7.62,5.80,32,31.575
465,-167.99,-7.62,5.78,32,31.624
466,-167.87,-7.49,5.76,33,31.779
467,-167.81,-7.48,5.71,33,31.825
468,-167.81,-7.53,5.78,33,31.874
469,-167.79,-7.53,5.68,33,31.935
470,-167.79,-7.46,5.45,33,31.997
471,-167.81,-7.59,5.61,33,32.058
472,-167.83,-7.71,5.71,33,32.103
473,-167.82,-7.55,5.47,33,32.163
474,-167.75,-7.45,5.42,33,32.211
475,-167.57,-7.25,5.35,33,32.259
476,-167.60,-7.20,5.19,33,32.318
477,-167.66,-7.34,5.27,33,32.365
478,-167.57,-7.26,5.24,33,32.412
479,-167.60,-7.39,5.31,33,32.457
480,-167.51,-7.26,5.21,33,32.507
481,-167.57,-7.44,5.40,34,32.663
482,-167.39,-7.54,5.31,34,32.725
483,-167.26,-7.76,5.40,34,32.786
484,-167.13,-7.88,5.37,34,32.833
485,-167.06,-8.12,5.40,34,32.895
486,-167.01,-8.38,5.58,34,32.957
487,-166.88,-8.48,5.63,34,33.017
488,-166.72,-8.46,5.70,34,33.065
489,-166.70,-8.60,5.66,34,33.113
490,-166.66,-8.68,5.59,34,33.162
491,-166.66,-8.86,5.71,34,33.209
492,-166.56,-8.85,5.65,34,33.256
493,-166.47,-8.87,5.67,34,33.301
494,-166.47,-8.99,5.72,34,33.362
495,-166.43,-9.01,5.67,34,33.421
496,-166.46,-9.27,5.86,35,33.580
497,-166.45,-9.39,5.97,35,33.625
498,-166.39,-9.38,5.90,35,33.674
499,-166.34,-9.29,5.67,35,33.726
500,-166.32,-9.46,5.68,35,33.788
501,-166.20,-9.71,5.73,35,33.847
502,-166.04,-9.83,5.75,35,33.895
503,-165.99,-10.12,5.88,35,33.944
504,-165.88,-10.22,5.80,35,33.990
505,-165.79,-10.35,5.86,35,34.051
506,-165.66,-10.42,5.94,35,34.096
507,-165.66,-10.60,5.92,35,34.145
508,-165.53,-10.67,6.09,35,34.206
509,-165.54,-10.79,6.08,35,34.254
510,-165.49,-10.87,6.07,35,34.297
511,-165.38,-10.98,6.32,36,34.453
512,-165.32,-11.05,6.39,36,34.503
513,-165.32,-11.10,6.38,36,34.547
514,-165.13,-11.06,6.23,36,34.592
515,-165.06,-11.16,6.12,36,34.640
516,-164.93,-11.18,6.07,36,34.688
517,-164.74,-11.02,5.83,36,34.751
518,-164.69,-11.04,5.83,36,34.798
519,-164.60,-11.14,5.93,36,34.856
520,-164.51,-11.13,5.82,36,34.907
521,-164.38,-11.20,6.03,36,34.955
522,-164.39,-11.26,5.91,36,35.013
523,-164.34,-11.32,5.95,36,35.062
524,-164.37,-11.41,5.83,36,35.121
525,-164.33,-11.50,5.97,36,35.166
526,-164.26,-11.40,5.78,37,35.321
527,-164.19,-11.49,5.91,37,35.372
528,-164.16,-11.45,5.76,37,35.420
529,-164.09,-11.38,5.75,37,35.479
530,-164.02,-11.31,5.74,37,35.529
531,-164.06,-11.49,5.83,37,35.588
532,-164.02,-11.57,5.84,37,35.634
533,-163.95,-11.61,5.92,37,35.695
534,-164.03,-11.72,5.84,37,35.757
535,-164.00,-11.72,5.73,37,35.818
537,-164.00,-11.85,5.94,37,35.940
538,-163.95,-11.92,6.09,37,35.988
539,-163.98,-12.02,6.06,37,36.034
540,-163.93,-12.00,6.13,37,36.082
541,-163.86,-11.96,6.22,38,36.237
542,-163.81,-11.93,6.15,38,36.283
543,-163.77,-11.88,6.02,38,36.330
544,-163.69,-11.97,6.19,38,36.376
545,-163.59,-11.95,6.03,38,36.420
546,-163.46,-11.95,6.00,38,36.467
547,-163.42,-11.99,6.01,38,36.516
548,-163.37,-12.03,6.03,38,36.576
549,-163.34,-12.13,6.11,38,36.625
550,-163.35,-12.24,6.07,38,36.686
551,-163.24,-12.22,6.12,38,36.732
552,-163.16,-12.17,6.00,38,36.778
553,-163.16,-12.31,6.08,38,36.824
554,-163.13,-12.41,6.20,38,36.873
555,-163.11,-12.37,6.08,38,36.935
556,-163.05,-12.25,5.89,39,37.087
557,-163.07,-12.42,6.01,39,37.134
558,-162.92,-12.20,5.84,39,37.182
559,-162.83,-12.05,5.71,39,37.244
560,-162.82,-11.98,5.60,39,37.292
561,-162.81,-11.93,5.51,39,37.336
562,-162.86,-12.11,5.55,39,37.386
563,-162.77,-12.00,5.41,39,37.449
564,-162.71,-12.06,5.51,39,37.511
565,-162.65,-12.08,5.60,39,37.572
566,-162.49,-11.92,5.58,39,37.618
567,-162.49,-11.99,5.67,39,37.679
568,-162.53,-12.15,5.85,39,37.724
569,-162.58,-12.21,5.87,39,37.769
570,-162.64,-12.35,5.92,39,37.817
571,-162.56,-12.27,5.86,40,37.972
572,-162.47,-12.22,5.75,40,38.018
573,-162.28,-12.34,5.54,40,38.065
574,-162.11,-12.59,5.60,40,38.127
575,-161.93,-12.78,5.63,40,38.174
576,-161.85,-13.05,5.68,40,38.220
577,-161.66,-13.17,5.76,40,38.267
578,-161.54,-13.40,5.81,40,38.313
579,-161.45,-13.63,5.95,40,38.363
580,-161.36,-13.76,5.96,40,38.408
581,-161.28,-13.85,5.96,40,38.454
582,-161.21,-13.96,5.93,40,38.504
583,-161.17,-14.08,5.99,40,38.565
584,-161.11,-14.23,6.02,40,38.612
585,-160.97,-14.19,5.93,40,38.663
586,-160.92,-14.24,5.85,41,38.814
587,-160.88,-14.20,5.72,41,38.860
588,-160.83,-14.26,5.76,41,38.905
589,-160.76,-14.23,5.71,41,38.954
590,-160.71,-14.27,5.75,41,39.014
591,-160.71,-14.46,6.06,41,39.060
592,-160.64,-14.45,6.02,41,39.110
593,-160.60,-14.44,5.96,41,39.172
594,-160.60,-14.49,5.93,41,39.218
595,-160.59,-14.53,5.95,41,39.280
596,-160.53,-14.51,5.97,41,39.325
597,-160.51,-14.56,5.99,41,39.371
598,-160.51,-14.55,5.87,41,39.417
599,-160.49,-14.54,5.79,41,39.466
600,-160.48,-14.54,5.84,41,39.512
601,-160.46,-14.60,5.87,42,39.669
602,-160.43,-14.58,5.77,42,39.730
603,-160.41,-14.65,5.82,42,39.778
604,-160.38,-14.68,5.81,42,39.823
605,-160.36,-14.72,5.86,42,39.884
606,-160.26,-14.62,5.84,42,39.928
607,-160.25,-14.67,5.81,42,39.977
608,-160.22,-14.72,5.96,42,40.025
609,-160.21,-14.70,5.93,42,40.085
610,-160.15,-14.60,5.76,42,40.130
611,-160.03,-14.40,5.65,42,40.179
612,-159.92,-14.29,5.61,42,40.241
613,-159.84,-14.38,5.71,42,40.287
614,-159.78,-14.41,5.60,42,40.335
615,-159.67,-14.37,5.62,42,40.381
616,-159.58,-14.39,5.61,43,40.538
617,-159.51,-14.46,5.63,43,40.585
618,-159.44,-14.48,5.62,43,40.633
619,-159.42,-14.50,5.45,43,40.693
620,-159.46,-14.62,5.51,43,40.741
621,-159.39,-14.62,5.43,43,40.788
622,-159.28,-14.59,5.45,43,40.836
623,-159.31,-14.69,5.61,43,40.898
624,-159.25,-14.69,5.48,43,40.944
625,-159.19,-14.63,5.31,43,40.992
626,-159.11,-14.53,5.20,43,41.041
627,-159.05,-14.47,5.14,43,41.086
628,-159.05,-14.59,5.25,43,41.145
629,-159.15,-14.80,5.32,43,41.195
630,-159.09,-14.70,5.32,43,41.255
631,-159.08,-14.68,5.26,44,41.411
632,-159.08,-14.68,5.21,44,41.458
633,-159.03,-14.85,5.51,44,41.504
634,-158.90,-15.42,5.55,44,41.552
635,-158.64,-15.78,5.58,44,41.597
636,-158.50,-16.32,5.84,44,41.644
637,-158.31,-16.62,5.85,44,41.692
638,-158.14,-16.96,5.97,44,41.737
639,-158.02,-17.34,6.07,44,41.784
640,-157.97,-17.69,6.01,44,41.832
641,-157.86,-17.93,6.04,44,41.879
642,-157.78,-18.13,5.95,44,41.939
643,-157.74,-18.44,5.98,44,41.987
644,-157.71,-18.57,5.78,44,42.034
645,-157.53,-18.52,5.59,44,42.096
646,-157.52,-18.75,5.68,45,42.252
647,-157.45,-18.82,5.62,45,42.313
648,-157.34,-18.85,5.50,45,42.363
649,-157.24,-18.93,5.58,45,42.421
650,-157.16,-19.02,5.59,45,42.468
651,-157.16,-19.16,5.47,45,42.517
652,-157.05,-19.24,5.55,45,42.566
653,-157.00,-19.36,5.67,45,42.625
654,-156.97,-19.43,5.68,45,42.685
655,-156.93,-19.47,5.70,45,42.733
657,-156.93,-19.61,5.81,45,42.825
658,-156.88,-19.63,5.80,45,42.874
659,-156.83,-19.63,5.87,45,42.935
660,-156.76,-19.67,5.96,45,42.983
661,-156.76,-19.71,5.86,46,43.136
662,-156.87,-19.92,5.95,46,43.184
663,-156.80,-19.88,5.95,46,43.232
664,-156.73,-20.16,5.79,46,43.294
665,-156.58,-20.34,5.71,46,43.355
666,-156.43,-20.43,5.52,46,43.416
667,-156.37,-20.69,5.53,46,43.463
668,-156.29,-20.85,5.41,46,43.521
669,-156.23,-20.94,5.25,46,43.573
670,-156.09,-21.01,5.09,46,43.620
671,-156.09,-21.18,5.08,46,43.669
672,-156.01,-21.21,4.95,46,43.716
673,-155.92,-21.21,4.77,46,43.761
674,-155.87,-21.25,4.60,46,43.824
675,-155.85,-21.36,4.58,46,43.869
676,-155.77,-21.34,4.57,47,44.022
677,-155.76,-21.44,4.55,47,44.068
